,Job Title,Company,Experience,Salary,Requirements,Link
263,Специалист по IT (English language),ТОО Paloma365,Опыт 1-3 года,700 – 1 500 $ на руки,Not specified,https://almaty.hh.kz/vacancy/106954748?hhtmFrom=vacancy_search_list
264,Главный разработчик,ТОО Микрофинансовая организация MyCar Finance,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108002238?hhtmFrom=vacancy_search_list
265,Системный аналитик в SuperApp,АО Kcell,Опыт 3-6 лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/108226067?hhtmFrom=vacancy_search_list
266,Frontend-разработчик,ТОО The Hive Company,Опыт 3-6 лет,от 600 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/108315039?hhtmFrom=vacancy_search_list
267,Специалист по IT,ТОО Ski Park Pioneer,Опыт 3-6 лет,250 000 – 400 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/107994969?hhtmFrom=vacancy_search_list
268,Системный администратор,ТОО OIL RELOADING CORP,Опыт 3-6 лет,400 000 – 500 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/108098321?hhtmFrom=vacancy_search_list
269,Business & Systems Analyst,ТОО INTELLIMARKET,Без опыта,300 000 – 600 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/108212124?hhtmFrom=vacancy_search_list
270,Инженер технической поддержки,ТОО Freedom Media,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108459474?hhtmFrom=vacancy_search_list
271,Middle QA Engineer,АО Kcell,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108240486?hhtmFrom=vacancy_search_list
272,"Ведущий специалист по защите конечных точек, Департамент кибербезопасности",АО Bereke Bank,Без опыта,Not specified,Not specified,https://almaty.hh.kz/vacancy/108459032?hhtmFrom=vacancy_search_list
273,Q/A engineer,ТОО AVIATA.KZ,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/106296939?hhtmFrom=vacancy_search_list
274,Middle QA Manual,Your Next Agency,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/107806622?hhtmFrom=vacancy_search_list
275,Sales Operations Intern (Almaty),ТОО Coca-Cola İçecek Kazakhstan  ( ТОО СП «Кока-Кола Алматы Боттлерс» ),Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108463301?hhtmFrom=vacancy_search_list
276,Специалист технической поддержки,ТОО F-Service,Опыт 1-3 года,250 000 – 400 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/108832839?hhtmFrom=vacancy_search_list
277,Fullstack-разработчик,ТОО Blue Sky Energy,Опыт 3-6 лет,от 500 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/107815589?hhtmFrom=vacancy_search_list
278,Java Developer,PashaPay,Опыт 3-6 лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/107879065?hhtmFrom=vacancy_search_list
279,DevOps-инженер,Публичная Компания «Freedom Finance Global PLC»,Опыт 3-6 лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/108519583?hhtmFrom=vacancy_search_list
280,IOS-разработчик,АО Kolesa (АО Колеса),Опыт 1-3 года,800 000 – 1 700 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/102597941?hhtmFrom=vacancy_search_list
281,Middle Python Developer,ТОО InformConsulting,Опыт 3-6 лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/107938531?hhtmFrom=vacancy_search_list
282,IT директор,АО Алель Агро,Опыт 3-6 лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/108234508?hhtmFrom=vacancy_search_list
283,IT специалист,ТОО Saia Group,Опыт 1-3 года,200 000 – 300 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/108107398?hhtmFrom=vacancy_search_list
284,QA engineer,АО Микрофинансовая организация KMF(КМФ),Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/97918254?hhtmFrom=vacancy_search_list
285,Системный администратор,ТОО VILED FASHION (ВИЛЕД ФЕШН),Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108411550?hhtmFrom=vacancy_search_list
286,Senior PHP Developer,ТОО ЕСРК IT,Опыт более 6&nbsp;лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/108506111?hhtmFrom=vacancy_search_list
287,Data Engineer,Axenix (ранее Accenture),Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108055731?hhtmFrom=vacancy_search_list
288,VoIP инженер,ТОО МФО Деньги говорят,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108732482?hhtmFrom=vacancy_search_list
289,Аналитик документации/ IT-инженер,ТОО EAST LINK (ИСТ ЛИНК),Опыт 1-3 года,200 000 – 300 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/107920192?hhtmFrom=vacancy_search_list
290,Специалист по информационной безопасности,"ТОО Small, ТМ (Скиф Трейд, ТОО)",Без опыта,Not specified,Not specified,https://almaty.hh.kz/vacancy/108160918?hhtmFrom=vacancy_search_list
291,"Middle Backend Developer (Django, Python)",ООО Гремамайнд,Опыт 3-6 лет,1 500 – 1 800 $ на руки,Not specified,https://almaty.hh.kz/vacancy/107764131?hhtmFrom=vacancy_search_list
292,Middle front-end developer,ТОО Kulan Oil,Опыт 3-6 лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/108355892?hhtmFrom=vacancy_search_list
293,PHP-разработчик,ТОО Alhadaya Kazakhstan,Опыт 1-3 года,500 000 – 500 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/108387708?hhtmFrom=vacancy_search_list
294,Менеджер по безопасности в Евразии / Security manager Eurasia,ТОО Нестле Фуд Казахстан,Опыт более 6&nbsp;лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/107632750?hhtmFrom=vacancy_search_list
295,Golang-разработчик,ТОО Butterfly Effect,Опыт 3-6 лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/108587834?hhtmFrom=vacancy_search_list
296,IOS Developer (Middle),ТОО Arbuz Group (Арбуз Груп),Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/107504606?hhtmFrom=vacancy_search_list
297,Специалист по внедрению Бизнес-решений,АО Kcell,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108673214?hhtmFrom=vacancy_search_list
298,Специалист по разработке и поддержке 1С,ТОО Ферронордик Казахстан,Опыт 3-6 лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/108314846?hhtmFrom=vacancy_search_list
299,Специалист бизнес-процессов,АО Kolesa (АО Колеса),Опыт 1-3 года,500 000 – 700 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/107483715?hhtmFrom=vacancy_search_list
300,Руководитель технического департамента,ТОО Аксель и А,Опыт 3-6 лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/108355293?hhtmFrom=vacancy_search_list
301,Инженер-программист,ТОО АЛМАТЫЭНЕРГОСЕРВИС,Опыт 3-6 лет,380 000 – 800 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/108840253?hhtmFrom=vacancy_search_list
302,Руководитель сектора информационной безопасности (Отдел внутреннего контроля),ТОО Транспортный холдинг города Алматы,Опыт более 6&nbsp;лет,800 000 – 1 100 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/107744919?hhtmFrom=vacancy_search_list
303,Системный аналитик,АО «ФИНАНСОВЫЙ ХОЛДИНГ «РЕСПУБЛИКА»,Опыт 3-6 лет,от 800 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/108772355?hhtmFrom=vacancy_search_list
304,Мобильный разработчик (React native),ТОО Mybuh.kz,Опыт 3-6 лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/108846411?hhtmFrom=vacancy_search_list
305,Backend-разработчик PHP,АО Kolesa (АО Колеса),Опыт 1-3 года,1 100 000 – 1 500 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/107423148?hhtmFrom=vacancy_search_list
306,Middle Frontend-разработчик (Vue),ТОО Техинвест проект,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/107676282?hhtmFrom=vacancy_search_list
307,PHP-разработчик,ТОО КАРАДА ПРО,Опыт 1-3 года,450 000 – 500 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/108524008?hhtmFrom=vacancy_search_list
308,PHP разработчик,ТОО OneVision,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/107131433?hhtmFrom=vacancy_search_list
309,Бизнес-аналитик (продуктовая команда по логистике),"ТОО Small, ТМ (Скиф Трейд, ТОО)",Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108515474?hhtmFrom=vacancy_search_list
310,Администратор 1С (ЗУП),"Beeline, ТМ",Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108673847?hhtmFrom=vacancy_search_list
311,Системный администратор,Фонд Общественный фонд «NNEF»,Опыт 3-6 лет,от 450 000 ₸ до вычета налогов,Not specified,https://almaty.hh.kz/vacancy/107673277?hhtmFrom=vacancy_search_list
312,Пентестер (Penetration Tester),АО Home Credit Bank,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108394056?hhtmFrom=vacancy_search_list
313,Go-разработчик,"ALSECO, АО",Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/105015944?hhtmFrom=vacancy_search_list
314,Java Trainee,Andersen,Без опыта,Not specified,Not specified,https://almaty.hh.kz/vacancy/108411894?hhtmFrom=vacancy_search_list
315,Frontend Team Lead,Публичная Компания «Freedom Finance Global PLC»,Без опыта,Not specified,Not specified,https://almaty.hh.kz/vacancy/108447504?hhtmFrom=vacancy_search_list
316,Администратор баз данных,Kaspi.kz,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108773305?hhtmFrom=vacancy_search_list
317,Оператор управления сетями,ТОО Inter Service (Интер Сервис),Без опыта,от 120 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/106430337?hhtmFrom=vacancy_search_list
318,System Analysis Trainee,Andersen,Без опыта,Not specified,Not specified,https://almaty.hh.kz/vacancy/107851699?hhtmFrom=vacancy_search_list
319,"BI Аналитик (с опытом в BI администрировании), проект Chocofood",Chocofamily,Опыт 3-6 лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/107957829?hhtmFrom=vacancy_search_list
320,Системный администратор,ТОО ИНТЕРКОМП КАЗАХСТАН,Опыт 1-3 года,от 300 000 ₸ до вычета налогов,Not specified,https://almaty.hh.kz/vacancy/107968816?hhtmFrom=vacancy_search_list
321,Инженер систем технической безопасности,ТОО Гелиос,Опыт 3-6 лет,600 000 – 600 000 ₸ до вычета налогов,Not specified,https://almaty.hh.kz/vacancy/107694513?hhtmFrom=vacancy_search_list
322,"Дежурный специалист в г. Алматы (Servicedesk, Отдел операционной поддержки)","Beeline, ТМ",Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108455929?hhtmFrom=vacancy_search_list
323,Mobile Developer (FlutterFlow),ТОО INTELLIMARKET,Без опыта,300 000 – 800 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/108204893?hhtmFrom=vacancy_search_list
324,Сетевой Архитектор,ТОО Smart Solutions Personnel,Опыт 3-6 лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/108581165?hhtmFrom=vacancy_search_list
325,Тестировщик ПО (Автоматизатор),ТОО Талисман качества,Без опыта,Not specified,Not specified,https://almaty.hh.kz/vacancy/106548296?hhtmFrom=vacancy_search_list
326,Технический директор,ТОО Вираж,Опыт 3-6 лет,600 000 – 800 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/107769460?hhtmFrom=vacancy_search_list
327,Системный аналитик,АО Народный банк Казахстана,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108273603?hhtmFrom=vacancy_search_list
328,QA Engineer,АО Home Credit Bank,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/102321660?hhtmFrom=vacancy_search_list
329,Технический оператор (чаты),Crestaff Hiring Factory,Без опыта,Not specified,Not specified,https://almaty.hh.kz/vacancy/108355667?hhtmFrom=vacancy_search_list
330,Customer Support Junior / Specialist,ТОО Intermode (Интермоде),Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108387540?hhtmFrom=vacancy_search_list
331,QA Engineer (тестировщик ПО),"ALSECO, АО",Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/102433799?hhtmFrom=vacancy_search_list
332,Системный администратор,ТОО МТ-Фарм,Опыт 1-3 года,245 000 – 245 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/107905797?hhtmFrom=vacancy_search_list
333,Frontend-разработчик VUE (middle/senior),ТОО Halyk Finservice,Опыт 3-6 лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/107514934?hhtmFrom=vacancy_search_list
334,Специалист IT отдела,ИП Кипер.KZ,Опыт 1-3 года,от 200 000 ₸ до вычета налогов,Not specified,https://almaty.hh.kz/vacancy/107651760?hhtmFrom=vacancy_search_list
335,Software tester/QA Engineer,Частная компания Global DTC Kazakhstan,Опыт более 6&nbsp;лет,от 800 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/107765905?hhtmFrom=vacancy_search_list
336,Java разработчик,ИП AT Logistics,Опыт 3-6 лет,350 000 – 600 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/107885275?hhtmFrom=vacancy_search_list
337,Pre-Sales engineer (Пресейл инженер),ТОО Ruba Technology,Опыт 3-6 лет,от 650 000 ₸ до вычета налогов,Not specified,https://almaty.hh.kz/vacancy/108771364?hhtmFrom=vacancy_search_list
338,IT-специалист (в отдел заботы о клиентах и партнерах) / Helpdesk / Support,ТОО Paloma365,Опыт 1-3 года,180 000 – 300 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/105977614?hhtmFrom=vacancy_search_list
339,Mobile QA Engineer,АО Kolesa (АО Колеса),Опыт 1-3 года,650 000 – 1 200 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/98703600?hhtmFrom=vacancy_search_list
340,Эксперт в Отдел контроля бизнес-проектов,АО Kcell,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108669932?hhtmFrom=vacancy_search_list
341,Специалист по технической поддержке,ТОО Сика Сентрал Эйша,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108521386?hhtmFrom=vacancy_search_list
342,Главный IT специалист антитеррористического отдела и видеомониторинга,Гос. корп. КазНМУ им. С.Д. Асфендиярова,Опыт 1-3 года,от 287 500 ₸ до вычета налогов,Not specified,https://almaty.hh.kz/vacancy/108264354?hhtmFrom=vacancy_search_list
343,Junior L1 operations engineer,LifeStreet Corporation,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108878999?hhtmFrom=vacancy_search_list
344,QA инженер (Со знанием казахского языка),АО Home Credit Bank,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/107510318?hhtmFrom=vacancy_search_list
345,Программист 1С,ТОО МК-Золото ломбард,Опыт 3-6 лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/108845785?hhtmFrom=vacancy_search_list
346,"Бизнес-аналитик, Jusan Retail (middle)",АО Jusan Bank,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108188910?hhtmFrom=vacancy_search_list
347,Middle+/Senior разработчик С# (backend developer),СК Jusan Garant,Опыт 3-6 лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/107977922?hhtmFrom=vacancy_search_list
348,Разработчик ПО,ТОО FUN&SUN,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/107980609?hhtmFrom=vacancy_search_list
349,Инженер NOC,АО Kcell,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108047269?hhtmFrom=vacancy_search_list
350,Системный/Бизнес аналитик,ТОО Rocket Pharm,Опыт 3-6 лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/108512263?hhtmFrom=vacancy_search_list
351,DevOps engineer,ТОО AVIATA.KZ,Без опыта,Not specified,Not specified,https://almaty.hh.kz/vacancy/104874493?hhtmFrom=vacancy_search_list
352,Frontend-разработчик,ТОО Аврора Холдинг,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/107832542?hhtmFrom=vacancy_search_list
353,DevOps инженер,Teez,Опыт 1-3 года,от 1 500 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/108107120?hhtmFrom=vacancy_search_list
354,Младший инженер ИТ поддержки,АО Народный банк Казахстана,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108453624?hhtmFrom=vacancy_search_list
355,Ведущий менеджер Service Desk,АО Жилищный строительный сберегательный банк Отбасы банк,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/106679323?hhtmFrom=vacancy_search_list
356,Java-разработчик,АО Bereke Bank,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/107756843?hhtmFrom=vacancy_search_list
357,"Главный менеджер по проверке ИБ, Департамент защиты информационных систем",АО Jusan Bank,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108630319?hhtmFrom=vacancy_search_list
358,Инженер технической поддержки (Informatica),DIS Group,Опыт 3-6 лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/108860013?hhtmFrom=vacancy_search_list
359,Ведущий специалист по внутреннему контролю в области ИТ,"AIR ASTANA, АО",Опыт 3-6 лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/108651686?hhtmFrom=vacancy_search_list
360,Middle QA Manual (ручное тестирование),АО Bereke Bank,Опыт 3-6 лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/107707699?hhtmFrom=vacancy_search_list
361,Разработчик BPM (ELMA),АО Банк ЦентрКредит,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108109451?hhtmFrom=vacancy_search_list
362,Head of SOC,Финансовый сервис О!Деньги (ОсОО Грин Телеком Сервис),Опыт 3-6 лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/108708950?hhtmFrom=vacancy_search_list
363,DevOps-инженер,АО Jusan Bank,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/106072993?hhtmFrom=vacancy_search_list
364,Руководитель отдела бизнес анализа,ТОО Лореаль Казахстан,Опыт более 6&nbsp;лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/107574965?hhtmFrom=vacancy_search_list
365,Специалист по WMS,ТОО ALSER (Gulser Computers),Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108500278?hhtmFrom=vacancy_search_list
366,Flutter-разработчик (стажер),ТОО U-FUTURE,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/107587052?hhtmFrom=vacancy_search_list
367,Аналитик Антифрод,АО Jusan Bank,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/105541860?hhtmFrom=vacancy_search_list
368,Middle-senior QA тестировщик,ТОО Bilim Land (Bilim Media Group),Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108678186?hhtmFrom=vacancy_search_list
369,Методолог ИБ,"Казтелепорт, АО",Опыт 3-6 лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/108705617?hhtmFrom=vacancy_search_list
370,Инженер-программист АСУ ТП,ТОО Aluminium of Kazakhstan,Опыт 3-6 лет,400 000 – 600 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/107805278?hhtmFrom=vacancy_search_list
371,Оператор технической поддержки,ТОО Aleks Asu,Опыт 3-6 лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/108227321?hhtmFrom=vacancy_search_list
372,Разработчик С++,ТОО «Научно-Исследовательская Лаборатория «Гамма Технологии»,Опыт 3-6 лет,300 000 – 1 000 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/108059354?hhtmFrom=vacancy_search_list
373,Менеджер по информационной безопасности,АО Jusan Invest,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108496256?hhtmFrom=vacancy_search_list
374,Product Manager (NLP),Social Discovery Group,Опыт более 6&nbsp;лет,до 15 000 $ до вычета налогов,Not specified,https://almaty.hh.kz/vacancy/108799429?hhtmFrom=vacancy_search_list
375,Системный администратор (по работе с серверами),АО АБДИ Компани,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108053561?hhtmFrom=vacancy_search_list
376,Full Stack разработчик среднего уровня,ТОО QSCHOOL,Без опыта,600 000 – 600 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/108241850?hhtmFrom=vacancy_search_list
377,Junior Sales support,ТОО Glovo Kazakhstan,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108397317?hhtmFrom=vacancy_search_list
378,Помощник системного администратора,Частная компания “Automated Communication Solutions Ltd.”,Опыт 1-3 года,200 000 – 300 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/108247336?hhtmFrom=vacancy_search_list
379,Программист-консультант 1С,АО Электромонтаж,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108821837?hhtmFrom=vacancy_search_list
380,Data Engineer (финансовый сектор),ИП HR Компания «CHANGE» (ИП Куприянова),Опыт 3-6 лет,от 800 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/108533320?hhtmFrom=vacancy_search_list
381,Middle/Senior Frontend разработчик,АО Микрофинансовая организация KMF(КМФ),Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/103751900?hhtmFrom=vacancy_search_list
382,Middle Front-end разработчик (Vue.js),АО TECHNODOM Operator (Технодом Оператор),Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108184286?hhtmFrom=vacancy_search_list
383,Технический эксперт в Отдел продаж,ТОО Хайдельберг Материалз Казахстан,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108771710?hhtmFrom=vacancy_search_list
384,Back-end C# developer,ТОО Транспортный холдинг города Алматы,Опыт 3-6 лет,600 000 – 950 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/107745701?hhtmFrom=vacancy_search_list
385,PL/SQL developer,"Халык-Life, АО",Опыт 3-6 лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/108739610?hhtmFrom=vacancy_search_list
386,Администратор баз данных,АО Kcell,Опыт 3-6 лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/107843969?hhtmFrom=vacancy_search_list
387,IT менеджер,ТОО Tau Development,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108230690?hhtmFrom=vacancy_search_list
388,Data инженер,АО Народный банк Казахстана,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/107800540?hhtmFrom=vacancy_search_list
389,Middle Java developer,RedLab,Опыт 3-6 лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/107926474?hhtmFrom=vacancy_search_list
390,Devops инженер,АО Народный банк Казахстана,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/107800567?hhtmFrom=vacancy_search_list
391,Senior PHP-разработчик,ТОО MP Solutions,Опыт 3-6 лет,до 1 500 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/107927378?hhtmFrom=vacancy_search_list
392,IT специалист в офис,ТОО Technical Engineering Support Company (TESCO),Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/107990223?hhtmFrom=vacancy_search_list
393,UI/UX дизайнер,Публичная Компания «Freedom Finance Global PLC»,Опыт 3-6 лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/107079770?hhtmFrom=vacancy_search_list
394,Технический директор,ТОО Neptune Sanitary Ware,Опыт 3-6 лет,500 000 – 700 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/108233118?hhtmFrom=vacancy_search_list
395,Инженер внедрения и поддержки программных решений,ТОО Smart Solutions Personnel,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108720946?hhtmFrom=vacancy_search_list
396,Специалист по информационным технологиям,АО Home Credit Bank,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/105447803?hhtmFrom=vacancy_search_list
397,Программист 1С,ТОО KONSEL Trade,Опыт 1-3 года,от 500 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/108599948?hhtmFrom=vacancy_search_list
398,Специалист по IT,КАЗАХСТАНСКО-РОССИЙСКИЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ,Опыт 1-3 года,300 000 – 300 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/107726905?hhtmFrom=vacancy_search_list
399,Системный аналитик,АО Банк ЦентрКредит,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108389402?hhtmFrom=vacancy_search_list
400,Специалист по IT,КАЗАХСТАНСКО-РОССИЙСКИЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ,Опыт 1-3 года,300 000 – 300 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/107726905?hhtmFrom=vacancy_search_list
401,Системный администратор,ТОО Центр Красоты и Здоровья НикОль,Опыт 1-3 года,350 000 – 350 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/107806463?hhtmFrom=vacancy_search_list
402,Middle Flutter разработчик,ТОО Tredo,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/107768243?hhtmFrom=vacancy_search_list
403,Ведущий разработчик,АО Home Credit Bank,Опыт 3-6 лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/107846172?hhtmFrom=vacancy_search_list
404,Специалист службы поддержки пользователей в онлайн-чате (на русском языке),Liene,Без опыта,от 250 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/107942657?hhtmFrom=vacancy_search_list
405,BI-Аналитик,ТОО Казфосфат,Опыт 3-6 лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/107518256?hhtmFrom=vacancy_search_list
406,PHP Laravel разработчик,ТОО Компания ЭВРИКА,Опыт 3-6 лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/106492881?hhtmFrom=vacancy_search_list
407,PL/SQL разработчик (Middle strong/Senior),АО Home Credit Bank,Опыт 3-6 лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/107928874?hhtmFrom=vacancy_search_list
408,Руководитель практики по защите приложений,Публичная Компания «Freedom Finance Global PLC»,Опыт более 6&nbsp;лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/108852785?hhtmFrom=vacancy_search_list
409,QA инженер,АО Народный банк Казахстана,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/107703931?hhtmFrom=vacancy_search_list
410,Ведущий разработчик C/C++,ООО Мальт Систем,Опыт 3-6 лет,800 000 – 1 000 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/105319011?hhtmFrom=vacancy_search_list
411,Системный администратор с карьерным ростом до руководителя отдела IT,ИП Амраев Р.Р,Опыт 1-3 года,200 000 – 450 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/106832351?hhtmFrom=vacancy_search_list
412,Middle data scientist,АО Народный банк Казахстана,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/107800577?hhtmFrom=vacancy_search_list
